"행정구역","2022년10월_총인구수","2022년10월_세대수","2022년10월_세대당 인구","2022년10월_남자 인구수","2022년10월_여자 인구수","2022년10월_남여 비율"
"서울특별시 강북구 (1130500000)","294,429","144,552","          2.04","143,000","151,429","          0.94"
"서울특별시 강북구 삼양동(1130553400)","23,019","10,984","          2.10","11,464","11,555","          0.99"
"서울특별시 강북구 미아동(1130553500)","21,200","11,617","          1.82","10,184","11,016","          0.92"
"서울특별시 강북구 송중동(1130554500)","29,382","14,024","          2.10","14,142","15,240","          0.93"
"서울특별시 강북구 송천동(1130555500)","25,627","13,372","          1.92","12,670","12,957","          0.98"
"서울특별시 강북구 삼각산동(1130557500)","30,776","11,496","          2.68","14,769","16,007","          0.92"
"서울특별시 강북구 번1동(1130559500)","18,228","10,436","          1.75","9,193","9,035","          1.02"
"서울특별시 강북구 번2동(1130560300)","15,402","7,548","          2.04","7,433","7,969","          0.93"
"서울특별시 강북구 번3동(1130560800)","16,471","7,429","          2.22","7,707","8,764","          0.88"
"서울특별시 강북구 수유1동(1130561500)","20,371","10,490","          1.94","10,019","10,352","          0.97"
"서울특별시 강북구 수유2동(1130562500)","20,919","9,824","          2.13","9,951","10,968","          0.91"
"서울특별시 강북구 수유3동(1130563500)","23,030","13,397","          1.72","11,390","11,640","          0.98"
"서울특별시 강북구 우이동(1130564500)","20,254","9,601","          2.11","9,751","10,503","          0.93"
"서울특별시 강북구 인수동(1130566000)","29,750","14,334","          2.08","14,327","15,423","          0.93"
"서울특별시 도봉구 (1132000000)","312,427","138,521","          2.26","151,811","160,616","          0.95"
"서울특별시 도봉구 창제1동(1132051100)","24,396","10,987","          2.22","11,623","12,773","          0.91"
"서울특별시 도봉구 창제2동(1132051200)","28,722","12,618","          2.28","13,941","14,781","          0.94"
"서울특별시 도봉구 창제3동(1132051300)","13,599","6,496","          2.09","6,784","6,815","          1.00"
"서울특별시 도봉구 창제4동(1132051400)","26,055","10,570","          2.46","12,521","13,534","          0.93"
"서울특별시 도봉구 창제5동(1132051500)","24,279","10,264","          2.37","11,629","12,650","          0.92"
"서울특별시 도봉구 도봉제1동(1132052100)","20,510","10,306","          1.99","10,273","10,237","          1.00"
"서울특별시 도봉구 도봉제2동(1132052200)","26,242","11,752","          2.23","12,847","13,395","          0.96"
"서울특별시 도봉구 쌍문제1동(1132066000)","21,009","9,396","          2.24","10,089","10,920","          0.92"
"서울특별시 도봉구 쌍문제2동(1132067000)","18,426","8,554","          2.15","8,781","9,645","          0.91"
"서울특별시 도봉구 쌍문제3동(1132068000)","16,859","8,259","          2.04","8,119","8,740","          0.93"
"서울특별시 도봉구 쌍문제4동(1132068100)","18,335","7,094","          2.58","8,644","9,691","          0.89"
"서울특별시 도봉구 방학제1동(1132069000)","28,292","12,990","          2.18","14,033","14,259","          0.98"
"서울특별시 도봉구 방학제2동(1132070000)","19,217","9,310","          2.06","9,699","9,518","          1.02"
"서울특별시 도봉구 방학제3동(1132071000)","26,486","9,925","          2.67","12,828","13,658","          0.94"
"서울특별시 노원구 (1135000000)","505,058","217,956","          2.32","242,826","262,232","          0.93"
"서울특별시 노원구 월계1동(1135056000)","20,962","10,047","          2.09","10,815","10,147","          1.07"
"서울특별시 노원구 월계2동(1135057000)","25,988","11,798","          2.20","12,504","13,484","          0.93"
"서울특별시 노원구 월계3동(1135058000)","29,295","12,913","          2.27","13,976","15,319","          0.91"
"서울특별시 노원구 공릉1동(1135059500)","36,540","18,547","          1.97","17,742","18,798","          0.94"
"서울특별시 노원구 공릉2동(1135060000)","41,841","17,767","          2.35","20,398","21,443","          0.95"
"서울특별시 노원구 하계1동(1135061100)","26,714","12,247","          2.18","12,794","13,920","          0.92"
"서울특별시 노원구 하계2동(1135061200)","21,660","8,192","          2.64","10,274","11,386","          0.90"
"서울특별시 노원구 중계본동(1135061900)","23,500","8,275","          2.84","11,436","12,064","          0.95"
"서울특별시 노원구 중계1동(1135062100)","26,514","8,935","          2.97","12,914","13,600","          0.95"
"서울특별시 노원구 중계4동(1135062400)","19,550","8,268","          2.36","9,383","10,167","          0.92"
"서울특별시 노원구 중계2.3동(1135062500)","33,423","15,114","          2.21","15,304","18,119","          0.84"
"서울특별시 노원구 상계1동(1135063000)","37,765","15,657","          2.41","18,263","19,502","          0.94"
"서울특별시 노원구 상계2동(1135064000)","19,578","8,592","          2.28","9,620","9,958","          0.97"
"서울특별시 노원구 상계3.4동(1135066500)","25,354","11,726","          2.16","12,634","12,720","          0.99"
"서울특별시 노원구 상계5동(1135067000)","23,634","10,937","          2.16","11,464","12,170","          0.94"
"서울특별시 노원구 상계6.7동(1135069500)","31,989","13,785","          2.32","14,761","17,228","          0.86"
"서울특별시 노원구 상계8동(1135070000)","22,362","9,190","          2.43","10,671","11,691","          0.91"
"서울특별시 노원구 상계9동(1135071000)","19,998","8,332","          2.40","9,383","10,615","          0.88"
"서울특별시 노원구 상계10동(1135072000)","18,391","7,634","          2.41","8,490","9,901","          0.86"
"서울특별시 은평구 (1138000000)","468,988","214,702","          2.18","223,764","245,224","          0.91"
"서울특별시 은평구 녹번동(1138051000)","36,525","17,633","          2.07","17,211","19,314","          0.89"
"서울특별시 은평구 불광제1동(1138052000)","37,998","17,758","          2.14","17,891","20,107","          0.89"
"서울특별시 은평구 불광제2동(1138053000)","26,973","13,958","          1.93","13,025","13,948","          0.93"
"서울특별시 은평구 갈현제1동(1138055100)","19,090","9,610","          1.99","9,340","9,750","          0.96"
"서울특별시 은평구 갈현제2동(1138055200)","27,924","12,635","          2.21","13,215","14,709","          0.90"
"서울특별시 은평구 구산동(1138056000)","31,907","13,417","          2.38","15,585","16,322","          0.95"
"서울특별시 은평구 대조동(1138057000)","26,488","14,426","          1.84","12,317","14,171","          0.87"
"서울특별시 은평구 응암제1동(1138058000)","32,902","15,018","          2.19","15,493","17,409","          0.89"
"서울특별시 은평구 응암제2동(1138059000)","27,864","11,259","          2.47","13,489","14,375","          0.94"
"서울특별시 은평구 응암제3동(1138060000)","24,007","12,551","          1.91","11,651","12,356","          0.94"
"서울특별시 은평구 역촌동(1138062500)","44,594","20,800","          2.14","20,897","23,697","          0.88"
"서울특별시 은평구 신사제1동(1138063100)","26,772","11,965","          2.24","12,848","13,924","          0.92"
"서울특별시 은평구 신사제2동(1138063200)","19,453","8,750","          2.22","9,678","9,775","          0.99"
"서울특별시 은평구 증산동(1138064000)","18,409","7,979","          2.31","8,983","9,426","          0.95"
"서울특별시 은평구 수색동(1138065000)","13,104","5,552","          2.36","6,430","6,674","          0.96"
"서울특별시 은평구 진관동(1138069000)","54,978","21,391","          2.57","25,711","29,267","          0.88"
"서울특별시 서대문구 (1141000000)","305,113","145,325","          2.10","145,287","159,826","          0.91"
"서울특별시 서대문구 천연동(1141052000)","16,870","7,701","          2.19","7,991","8,879","          0.90"
"서울특별시 서대문구 북아현동(1141055500)","15,645","7,119","          2.20","7,507","8,138","          0.92"
"서울특별시 서대문구 충현동(1141056500)","19,978","10,126","          1.97","9,578","10,400","          0.92"
"서울특별시 서대문구 신촌동(1141058500)","20,328","14,735","          1.38","8,880","11,448","          0.78"
"서울특별시 서대문구 연희동(1141061500)","34,557","18,679","          1.85","16,539","18,018","          0.92"
"서울특별시 서대문구 홍제제1동(1141062000)","23,269","10,337","          2.25","10,873","12,396","          0.88"
"서울특별시 서대문구 홍제제3동(1141064000)","17,691","8,025","          2.20","8,506","9,185","          0.93"
"서울특별시 서대문구 홍제제2동(1141065500)","13,447","5,773","          2.33","6,293","7,154","          0.88"
"서울특별시 서대문구 홍은제1동(1141066000)","22,694","9,831","          2.31","10,987","11,707","          0.94"
"서울특별시 서대문구 홍은제2동(1141068500)","25,982","12,230","          2.12","12,462","13,520","          0.92"
"서울특별시 서대문구 남가좌제1동(1141069000)","16,524","5,999","          2.75","7,930","8,594","          0.92"
"서울특별시 서대문구 남가좌제2동(1141070000)","29,447","13,347","          2.21","14,165","15,282","          0.93"
"서울특별시 서대문구 북가좌제1동(1141071000)","17,754","6,869","          2.58","8,507","9,247","          0.92"
"서울특별시 서대문구 북가좌제2동(1141072000)","30,927","14,554","          2.12","15,069","15,858","          0.95"
"서울특별시 마포구 (1144000000)","364,698","179,959","          2.03","171,062","193,636","          0.88"
"서울특별시 마포구 아현동(1144055500)","25,044","10,427","          2.40","11,717","13,327","          0.88"
"서울특별시 마포구 공덕동(1144056500)","36,900","18,597","          1.98","17,270","19,630","          0.88"
"서울특별시 마포구 도화동(1144058500)","20,876","9,317","          2.24","9,960","10,916","          0.91"
"서울특별시 마포구 용강동(1144059000)","21,322","9,295","          2.29","10,092","11,230","          0.90"
"서울특별시 마포구 대흥동(1144060000)","14,544","8,771","          1.66","7,071","7,473","          0.95"
"서울특별시 마포구 염리동(1144061000)","16,751","7,757","          2.16","8,001","8,750","          0.91"
"서울특별시 마포구 신수동(1144063000)","22,320","10,040","          2.22","10,878","11,442","          0.95"
"서울특별시 마포구 서강동(1144065500)","24,749","12,158","          2.04","11,810","12,939","          0.91"
"서울특별시 마포구 서교동(1144066000)","24,584","15,443","          1.59","11,231","13,353","          0.84"
"서울특별시 마포구 합정동(1144068000)","16,760","9,282","          1.81","7,730","9,030","          0.86"
"서울특별시 마포구 망원제1동(1144069000)","19,496","10,202","          1.91","9,123","10,373","          0.88"
"서울특별시 마포구 망원제2동(1144070000)","18,369","8,472","          2.17","8,581","9,788","          0.88"
"서울특별시 마포구 연남동(1144071000)","14,621","8,520","          1.72","6,928","7,693","          0.90"
"서울특별시 마포구 성산제1동(1144072000)","18,754","9,443","          1.99","8,798","9,956","          0.88"
"서울특별시 마포구 성산제2동(1144073000)","39,315","19,509","          2.02","17,573","21,742","          0.81"
"서울특별시 마포구 상암동(1144074000)","30,293","12,726","          2.38","14,299","15,994","          0.89"
"서울특별시 양천구 (1147000000)","441,749","181,370","          2.44","216,133","225,616","          0.96"
"서울특별시 양천구 목1동(1147051000)","30,463","10,380","          2.93","14,655","15,808","          0.93"
"서울특별시 양천구 목2동(1147052000)","29,499","13,364","          2.21","14,289","15,210","          0.94"
"서울특별시 양천구 목3동(1147053000)","21,636","10,121","          2.14","10,318","11,318","          0.91"
"서울특별시 양천구 목4동(1147054000)","24,929","10,091","          2.47","12,202","12,727","          0.96"
"서울특별시 양천구 목5동(1147055000)","40,687","13,383","          3.04","20,150","20,537","          0.98"
"서울특별시 양천구 신월1동(1147056000)","20,180","10,302","          1.96","10,348","9,832","          1.05"
"서울특별시 양천구 신월2동(1147057000)","20,375","8,472","          2.40","9,964","10,411","          0.96"
"서울특별시 양천구 신월3동(1147058000)","14,795","7,876","          1.88","7,784","7,011","          1.11"
"서울특별시 양천구 신월4동(1147059000)","17,677","6,886","          2.57","8,607","9,070","          0.95"
"서울특별시 양천구 신월5동(1147060000)","14,389","6,449","          2.23","7,147","7,242","          0.99"
"서울특별시 양천구 신월6동(1147061000)","13,758","5,336","          2.58","6,717","7,041","          0.95"
"서울특별시 양천구 신월7동(1147061100)","19,118","9,061","          2.11","9,330","9,788","          0.95"
"서울특별시 양천구 신정1동(1147062000)","19,861","6,976","          2.85","9,659","10,202","          0.95"
"서울특별시 양천구 신정2동(1147063000)","18,978","6,884","          2.76","9,297","9,681","          0.96"
"서울특별시 양천구 신정3동(1147064000)","50,224","19,735","          2.54","24,346","25,878","          0.94"
"서울특별시 양천구 신정4동(1147065000)","32,515","16,410","          1.98","15,826","16,689","          0.95"
